	gene_short_name
YDR531W	YDR531W
YDR533C	YDR533C
YDR536W	YDR536W
YDR539W	YDR539W
YEL001C	YEL001C
YEL002C	YEL002C
YEL003W	YEL003W
YEL006W	YEL006W
YEL007W	YEL007W
YEL009C	YEL009C
YEL011W	YEL011W
YEL012W	YEL012W
YEL013W	YEL013W
YEL014C	YEL014C
YEL015W	YEL015W
YEL017C-A	YEL017C-A
YEL017W	YEL017W
YEL020W-A	YEL020W-A
YEL022W	YEL022W
YEL024W	YEL024W
YEL026W	YEL026W
YEL027W	YEL027W
YEL031W	YEL031W
YEL032W	YEL032W
YEL033W	YEL033W
YEL034C-A	YEL034C-A
YEL036C	YEL036C
YEL037C	YEL037C
YEL038W	YEL038W
YEL040W	YEL040W
YEL042W	YEL042W
YEL043W	YEL043W
YEL044W	YEL044W
YEL046C	YEL046C
YEL047C	YEL047C
YEL050C	YEL050C
YEL051W	YEL051W
YEL052W	YEL052W
YEL053C	YEL053C
YEL054C	YEL054C
YEL055C	YEL055C
YEL056W	YEL056W
YEL058W	YEL058W
YEL060C	YEL060C
YEL063C	YEL063C
YEL065W	YEL065W
YEL066W	YEL066W
YEL068C	YEL068C
YEL071W	YEL071W
YER002W	YER002W
YER003C	YER003C
YER004W	YER004W
YER005W	YER005W
YER006W	YER006W
YER007C-A	YER007C-A
YER008C	YER008C
YER009W	YER009W
YER010C	YER010C
YER012W	YER012W
YER013W	YER013W
YER016W	YER016W
YER017C	YER017C
YER018C	YER018C
YER019C-A	YER019C-A
YER019W	YER019W
YER020W	YER020W
YER021W	YER021W
YER022W	YER022W
YER023W	YER023W
YER025W	YER025W
YER026C	YER026C
YER027C	YER027C
YER029C	YER029C
YER030W	YER030W
YER031C	YER031C
YER032W	YER032W
YER034W	YER034W
YER035W	YER035W
YER036C	YER036C
YER037W	YER037W
YER038C	YER038C
YER040W	YER040W
YER043C	YER043C
YER044C	YER044C
YER048C	YER048C
YER048W-A	YER048W-A
YER049W	YER049W
YER050C	YER050C
YER052C	YER052C
YER053C	YER053C
YER054C	YER054C
YER055C	YER055C
YER056C	YER056C
YER056C-A	YER056C-A
YER057C	YER057C
YER058W	YER058W
YER059W	YER059W
YER062C	YER062C
YER063W	YER063W
YER064C	YER064C
YER067W	YER067W
YER068W	YER068W
YER071C	YER071C
YER072W	YER072W
YER073W	YER073W
YER074W	YER074W
YER074W-A	YER074W-A
YER075C	YER075C
YER079W	YER079W
YER080W	YER080W
YER081W	YER081W
YER082C	YER082C
YER083C	YER083C
YER086W	YER086W
YER087C-B	YER087C-B
YER088C	YER088C
YER089C	YER089C
YER090W	YER090W
YER091C	YER091C
YER092W	YER092W
YER093C	YER093C
YER094C	YER094C
YER095W	YER095W
YER099C	YER099C
YER100W	YER100W
YER102W	YER102W
YER103W	YER103W
YER105C	YER105C
YER107C	YER107C
YER107W-A	YER107W-A
YER110C	YER110C
YER111C	YER111C
YER112W	YER112W
YER113C	YER113C
YER114C	YER114C
YER115C	YER115C
YER116C	YER116C
YER117W	YER117W
YER118C	YER118C
YER119C	YER119C
YER120W	YER120W
YER122C	YER122C
YER123W	YER123W
YER124C	YER124C
YER125W	YER125W
YER126C	YER126C
YER127W	YER127W
YER129W	YER129W
YER130C	YER130C
YER131W	YER131W
YER132C	YER132C
YER133W	YER133W
YER136W	YER136W
YER138C	YER138C
YER138W-A	YER138W-A
YER141W	YER141W
YER142C	YER142C
YER143W	YER143W
YER144C	YER144C
YER145C	YER145C
YER147C-A	YER147C-A
YER148W	YER148W
YER150W	YER150W
YER151C	YER151C
YER152C	YER152C
YER154W	YER154W
YER155C	YER155C
YER156C	YER156C
YER157W	YER157W
YER159C	YER159C
YER160C	YER160C
YER161C	YER161C
YER163C	YER163C
YER164W	YER164W
YER165W	YER165W
YER166W	YER166W
YER167W	YER167W
YER168C	YER168C
YER169W	YER169W
YER171W	YER171W
YER172C	YER172C
YER174C	YER174C
YER176W	YER176W
YER177W	YER177W
YER178W	YER178W
YER182W	YER182W
YER183C	YER183C
YER186C	YER186C
YFL002C	YFL002C
YFL002W-A	YFL002W-A
YFL004W	YFL004W
YFL005W	YFL005W
YFL007W	YFL007W
YFL008W	YFL008W
YFL009W	YFL009W
YFL010C	YFL010C
YFL010W-A	YFL010W-A
YFL014W	YFL014W
YFL016C	YFL016C
YFL017C	YFL017C
YFL017W-A	YFL017W-A
YFL018C	YFL018C
YFL021W	YFL021W
YFL022C	YFL022C
YFL023W	YFL023W
YFL024C	YFL024C
YFL026W	YFL026W
YFL028C	YFL028C
YFL029C	YFL029C
YFL031C-A	YFL031C-A
YFL031W	YFL031W
YFL033C	YFL033C
YFL034C-A	YFL034C-A
YFL034C-B	YFL034C-B
YFL034W	YFL034W
YFL036W	YFL036W
YFL037W	YFL037W
YFL038C	YFL038C
YFL039C	YFL039C
YFL041W	YFL041W
YFL042C	YFL042C
YFL044C	YFL044C
YFL045C	YFL045C
YFL046W	YFL046W
YFL047W	YFL047W
YFL048C	YFL048C
YFR001W	YFR001W
YFR002W	YFR002W
